Type,Count,Mean,Std,Min,25%,50%,75%,Max,Year
Population,3844197,11.31109,4.16075,0,9,12,13,98,2016
Under 15,2247,8.76368491,4.61035251,0,6,9,12,39,2016
15,6564,9.38665448,4.47262435,0,7,10,12,41,2016
16,16216,9.75647509,4.3492555,0,7,10,12,55,2016
17,31493,10.0711269,4.27474259,0,8,10,13,50,2016
18,58232,10.292262,4.23710992,0,8,10,13,49,2016
19,95489,10.493837,4.2252877,0,8,11,13,55,2016
20 - 24,795274,10.8146626,4.19555213,0,9,11,13,98,2016
25 - 29,1127106,11.3256606,4.06161537,0,9,12,13,96,2016
30 - 34,1072840,11.6134177,4.01827617,0,10,12,14,98,2016
35 - 39,523014,11.7201891,4.27752815,0,10,12,14,98,2016
40 - 44,107231,11.8042171,4.70677814,0,10,12,14,60,2016
45 - 49,7765,12.1323889,4.99229061,0,10,12,14,50,2016
50 - 54,726,12.369146,5.27754761,0,9,12,15,49,2016
Population,3766768,11.29035,4.198156,0,9,12,13,98,2017
Under 15,1850,8.42,4.61349046,0,5,9,11,30,2017
15,5417,9.19549566,4.49441575,0,6,10,12,40,2017
16,13983,9.67717943,4.35148271,0,7,10,12,50,2017
17,27853,9.92776362,4.33787141,0,8,10,12,60,2017
18,52794,10.1949464,4.28936405,0,8,10,13,60,2017
19,89177,10.4064837,4.24591473,0,8,11,13,91,2017
20 - 24,745319,10.7873743,4.23868332,0,9,11,13,94,2017
25 - 29,1097924,11.2789164,4.09769245,0,9,12,13,98,2017
30 - 34,1068616,11.5890516,4.05604764,0,10,12,14,80,2017
35 - 39,542507,11.6899598,4.30488552,0,10,12,14,81,2017
40 - 44,112178,11.8110414,4.72329604,0,10,12,14,66,2017
45 - 49,8314,12.0209286,5.09357119,0,9,12,14,58,2017
50 - 54,836,12.2129187,5.58892194,0,10,12,14,41,2017
Population,3705917,11.29048,4.200561,0,9,12,13,98,2018
Under 15,1695,8.08731563,4.69639499,0,5,8,11,39,2018
15,4818,9.0267746,4.48204839,0,6,10,12,40,2018
16,12745,9.46873284,4.35889705,0,7,10,12,40,2018
17,25608,9.93650422,4.33250506,0,7,10,12,45,2018
18,48804,10.1798623,4.36334878,0,8,10,13,50,2018
19,83262,10.4098989,4.23393182,0,8,11,13,60,2018
20 - 24,708256,10.7821889,4.2445916,0,9,11,13,98,2018
25 - 29,1074974,11.2682037,4.10979088,0,9,12,13,93,2018
30 - 34,1067616,11.5761688,4.04825708,0,10,12,14,89,2018
35 - 39,554131,11.6810213,4.29994437,0,10,12,14,96,2018
40 - 44,114624,11.7893635,4.72329018,0,10,12,14,75,2018
45 - 49,8441,12.001777,5.07209835,0,10,12,14,50,2018
50 - 54,943,12.447508,5.87024883,0,10,12,15,49,2018
Population,3664631,11.30073,4.265216,0,9,12,13,98,2019
Under 15,1745,8.25386819,4.79371102,0,5,9,11,50,2019
15,4627,8.91182191,4.67476653,0,6,9,12,36,2019
16,11557,9.43895475,4.49879972,0,7,10,12,49,2019
17,23904,9.89428548,4.37240541,0,7,10,12,42,2019
18,46290,10.1067401,4.32833269,0,8,10,13,67,2019
19,81087,10.4076732,4.2848507,0,8,11,13,50,2019
20 - 24,687802,10.7965461,4.29804777,0,9,11,13,98,2019
25 - 29,1054486,11.2689234,4.18412706,0,9,12,13,98,2019
30 - 34,1066235,11.5797812,4.10786089,0,10,12,14,98,2019
35 - 39,560108,11.6886458,4.37698045,0,10,12,14,92,2019
40 - 44,117380,11.7876384,4.79345805,0,10,12,14,91,2019
45 - 49,8349,12.0407234,5.10937105,0,9,12,14,59,2019
50 - 54,1061,12.5852969,5.90151329,0,10,12,15,49,2019
Population,3535616,10.99035,4.190698,0,9,11,13,94,2020
Under 15,1721,7.914003,4.628104,0,5,8,11,38,2020
15,4602,8.715776,4.485341,0,6,9,12,38,2020
16,11154,9.323023,4.408236,0,7,10,12,39,2020
17,21870,9.584911,4.352069,0,7,10,12,43,2020
18,42056,9.905626,4.32513,0,8,10,12,77,2020
19,74545,10.193454,4.280066,0,8,10,13,78,2020
20 - 24,650448,10.572924,4.237639,0,8,11,13,91,2020
25 - 29,1002939,10.97209,4.117703,0,9,11,13,82,2020
30 - 34,1047734,11.21518,4.057102,0,9,11,13,94,2020
35 - 39,551728,11.300514,4.262574,0,9,11,13,82,2020
40 - 44,117806,11.394691,4.653267,0,9,11,14,88,2020
45 - 49,8035,11.573491,4.888288,0,9,11,14,59,2020
50 - 54,978,11.943763,5.259091,0,9,12,14,40,2020
Population,3595992,11.01408,4.23852,0,9,11,13,98,2021
Under 15,1821,7.85777,4.700372,0,5,8,11,30,2021
15,4368,8.741071,4.532208,0,6,9,12,40,2021
16,10097,9.122115,4.595552,0,6,10,12,44,2021
17,20298,9.578333,4.463567,0,7,10,12,44,2021
18,39253,9.829261,4.354881,0,7,10,12,53,2021
19,69729,10.160149,4.323403,0,8,10,13,50,2021
20 - 24,635451,10.551918,4.278803,0,8,11,13,77,2021
25 - 29,1005295,11.00196,4.153909,0,9,11,13,77,2021
30 - 34,1095392,11.2337,4.101798,0,9,11,13,93,2021
35 - 39,581182,11.325421,4.323348,0,9,11,13,93,2021
40 - 44,123926,11.400295,4.758549,0,9,11,14,90,2021
45 - 49,8173,11.676496,4.982086,0,9,11,14,60,2021
50 - 54,1007,12.061569,5.649661,0,9,12,14,49,2021
