Type,Count,Mean,Std,Min,25%,50%,75%,Max,Year
Population,3844197,11.31109,4.16075,0,9,12,13,98,2016
Medicaid,1633522,10.7473343,4.33904276,0,8,11,13,96,2016
Private ,1876022,12.0537243,3.77329836,0,10,12,14,98,2016
Self-Pay,162782,9.07341107,4.57775769,0,6,10,12,78,2016
Other,151139,10.7780785,4.30615807,0,9,11,13,72,2016
Unknown,20732,9.9848061,4.51651744,0,8,10,12,40,2016
Population,3766768,11.29035,4.198156,0,9,12,13,98,2017
Medicaid,1602336,10.7233552,4.39912603,0,8,11,13,91,2017
Private ,1843526,12.019524,3.78743126,0,10,12,14,98,2017
Self-Pay,158612,9.07646962,4.60057201,0,6,10,12,49,2017
Other,142750,10.8814081,4.45808283,0,9,11,13,94,2017
Unknown,19544,9.9489869,4.5690512,0,8,11,13,50,2017
Population,3705917,11.29048,4.200561,0,9,12,13,98,2018
Medicaid,1552561,10.7014752,4.41078177,0,8,11,13,98,2018
Private ,1833747,12.0231684,3.77388274,0,10,12,14,96,2018
Self-Pay,159775,9.05446409,4.61673659,0,6,10,12,46,2018
Other,141513,10.936868,4.54373815,0,9,11,13,82,2018
Unknown,18321,10.1007041,4.52821818,0,8,11,13,41,2018
Population,3664631,11.30073,4.265216,0,9,12,13,98,2019
Medicaid,1525351,10.6928176,4.48406168,0,8,11,13,90,2019
Private ,1829881,12.0263017,3.84661917,0,10,12,14,98,2019
Self-Pay,158209,9.09364195,4.75379874,0,6,10,12,88,2019
Other,128108,11.0749446,4.4039916,0,9,11,13,80,2019
Unknown,23082,10.33329,4.81769823,0,8,11,13,55,2019
Population,3535616,10.99035,4.190698,0,9,11,13,94,2020
Medicaid,1468640,10.45999,4.42518,0,8,11,13,85,2020
Private ,1780064,11.61346,3.805236,0,10,12,13,94,2020
Self-Pay,141621,8.931373,4.662084,0,6,10,12,76,2020
Other,122097,10.819283,4.278551,0,9,11,13,82,2020
Unknown,23194,10.223075,4.748909,0,8,10,13,56,2020
Population,3595992,11.01408,4.23852,0,9,11,13,98,2021
Medicaid,1457418,10.46401,4.476843,0,8,11,13,90,2021
Private ,1850135,11.163576,3.869612,0,10,12,13,98,2021
Self-Pay,141996,8.943301,4.579222,0,6,10,12,60,2021
Other,122724,10.719598,4.311877,0,8,11,13,88,2021
Unknown,23719,10.241958,5.193744,0,8,10,13,70,2021
